SDB|CIS|A64A45O |CIS CUST ROLES OUTPUT FILE                        |OUTPUT|DISK   |QSAM|FIXED   |00075|A64A45O |FB |00000|N
SDB|CIS|A64A70O |CIS CUST OFFICER ROLES OUTPUT FILE                |OUTPUT|DISK   |QSAM|FIXED   |00056|A64A70O |FB |00000|N
SDB|CIS|A64A71O |CIS CUST ORG ROLES OUTPUT FILE                    |OUTPUT|DISK   |QSAM|FIXED   |00077|A64A71O |FB |00000|N
SDB|CIS|A64A72O |CIS CUST SEGM CLSFC OUTPUT FILE                   |OUTPUT|DISK   |QSAM|FIXED   |00067|A64A72O |FB |00000|N
SDB|CIS|A64A73O |CIS PHONE INFO OUTPUT FILE                        |OUTPUT|DISK   |QSAM|FIXED   |00092|A64A73O |FB |00000|N
SDB|CIS|A64A74O |CIS IDNENT INFO OUTPUT FILE                       |OUTPUT|DISK   |QSAM|FIXED   |00103|A64A74O |FB |00000|N
SDB|CIS|A64A78O |CIS CUST FACT CODES OUTPUT FILE                   |OUTPUT|DISK   |QSAM|FIXED   |00028|A64A78O |FB |00000|N
SDB|CIS|A64A95O |CIS CUST SECND NAME OUTPUT FILE                   |OUTPUT|DISK   |QSAM|FIXED   |00057|A64A95O |FB |00000|N
SDB|CIS|A64BORO |CIS DUMP/RESTORE BOR OUTPUT FILE                  |OUTPUT|DISK   |QSAM|VARIABLE|13026|A64BORO |   |00000| 
SDB|CIS|A64CAPO |CIS DUMP/RESTORE TCS CAP OUTPUT FILE              |OUTPUT|DISK   |QSAM|VARIABLE|13026|A64CAPO |   |00000| 
SDB|CIS|A64CASO |CIS DUMP/RESTORE TCS CAS OUTPUT FILE              |OUTPUT|DISK   |QSAM|VARIABLE|13026|A64CASO |   |00000| 
SDB|CIS|A64CHFO |CIS DUMP/RESTORE CHF OUTPUT FILE                  |OUTPUT|DISK   |QSAM|VARIABLE|13026|A64CHFO |   |00000|N
SDB|CIS|A64CH2O |CIS DUMP/RESTORE CHF DB2 OUTPUT FILE              |OUTPUT|DISK   |QSAM|VARIABLE|13026|A64CH2O |   |00000|N
SDB|CIS|A64CIFO |CIS DUMP/RESTORE CIF OUTPUT FILE                  |OUTPUT|DISK   |QSAM|VARIABLE|13026|A64CIFO |   |00000| 
SDB|CIS|A64CI2O |CIS DUMP/RESTORE CIF DB2 OUTPUT FILE              |OUTPUT|DISK   |QSAM|VARIABLE|13026|A64CI2O |   |00000| 
SDB|CIS|A64DB2O |CIS DUMP/RESTORE DB2 OUTPUT FILE                  |OUTPUT|DISK   |QSAM|VARIABLE|13026|A64DB2O |   |00000| 
SDB|CIS|A64DMPI |CIS DUMP/RESTORE INPUT FILE                       |INPUT |DISK   |QSAM|VARIABLE|13026|A64DMPI |   |00000| 
SDB|CIS|A64DMPO |CIS DUMP/RESTORE OUTPUT FILE.                     |OUTPUT|DISK   |QSAM|VARIABLE|13026|A64DMPO |   |00000| 
SDB|CIS|A64MERO |CIS DUMP/RESTORE TCS MER OUTPUT FILE              |OUTPUT|DISK   |QSAM|VARIABLE|13026|A64MERO |   |00000| 
